备用,#genre#
FOX HD,p5p://fccs.123178.top:9906/6130442d0000201d133dff92bc0fef39
FOX HD,p5p://fccs.123178.top:9906/60440eb10006690c09cc32777254e90a.ts
FOX動作,p5p://fccs.123178.top:9906/60440fd1000e6f3b09d0998515d1967d.ts
FOX優質,p5p://fccs.123178.top:9906/60441060000dae1309d2c7eb236de319.ts
Fox家庭,p5p://fccs.123178.top:9906/6044114c0004d19e09d65f86a75bad6b.ts
Fox家庭,p5p://fccs.123178.top:9906/60442b6d000654ae005c85e289945252.ts
Fox警匪,p5p://fccs.123178.top:9906/60440e1600029d1f09c9d406f98d5158.ts
FOX HD,p5p://fccs.123178.top:9906/60440eb10006690c09cc32777254e90a.ts
FOX Movie HD,p5p://fccs.123178.top:9906/6173bd080007071617c1e0f237fbb6b4
FOX CRIME,p5p://fccs.123178.top:9906/60440e1600029d1f09c9d406f98d5158.ts
FOX Family Movie,p5p://fccs.123178.top:9906/616562800001f11f1366c5bbc8f968bd
FOX Movie,p5p://fccs.123178.top:9906/61656082000dde7d135f0098cd0d855e
FOX Action Movies,p5p://fccs.123178.top:9906/616560750004a2ee135ecb73ed40a894
FX-HD,p5p://fccs.123178.top:9906/60440f3c000c153709ce52e28565fc29.ts
HBO,p5p://fccs.123178.top:9906/616565140005033f1370d8a41ccc3201
HBO Hits,p5p://fccs.123178.top:9906/616562ee0005b92713687463321cb4d0
HBO Singature,p5p://fccs.123178.top:9906/61656300000efd9c1368bd121d8e6fa4
HBO Family,p5p://fccs.123178.top:9906/61656318000d926213691a75fde79ae8
HBO HD,p5p://fccs.123178.top:9906/604338a40001163206880e5297cc95ab
HBO HD,p5p://fccs.123178.top:9906/604340b2000af04c06a787875d674b81
HBO 强档,p5p://fccs.123178.top:9906/60442428000dc9020040224339113352
HBO 原创,p5p://fccs.123178.top:9906/604339520007991f068ab7ad0427275f
HBO 家庭,p5p://fccs.123178.top:9906/610b3ea6000bd4a6041b158a2a02ace5
HBO 家庭,p5p://fccs.123178.top:9906/604339d800036fb3068cc20c2898df9c
探索频道,p5p://fccs.123178.top:9906/610b440f00018f2d04303511f19e7e5a
探索亞洲频道,p5p://fccs.123178.top:9906/60433ee00002fb7906a0692e6558cb55
探索科學,p5p://fccs.123178.top:9906/6043456f00065dec06ba08a499663c96
探索動力 DMAX,p5p://fccs.123178.top:9906/6043467c000301e806be22909a147731
探索家庭 EVE,p5p://fccs.123178.top:9906/60689d110008d7a31345719a76b95329
國家地理,p5p://fccs.123178.top:9906/6043485f000c065106c583978afda437
國家地理人文,p5p://fccs.123178.top:9906/6043ffe3000c6f3709925f52585be323.ts
國家野生,p5p://fccs.123178.top:9906/604401050005fe790996ca7b4ed24991.ts
動物星球,p5p://fccs.123178.top:9906/60440362000e75bc09a007eeaa0519c7.ts
歷史頻道,p5p://fccs.123178.top:9906/6049468f0008dae6144e835756f6d068.ts
歷史頻道H2,p5p://fccs.123178.top:9906/6049473c0005320614512630bb45841f.ts
BBC Lifestyle,p5p://fccs.123178.top:9906/614955d2000d41ca0d901d9987bbb53c
BBC Earth,p5p://fccs.123178.top:9906/6044049e000eb7a609a4da5fcd30cc43.ts
afc亞洲美食 HD,p5p://fccs.123178.top:9906/6044065f0003bace09abb177a024828d.ts
Animax HD,p5p://fccs.123178.top:9906/611a8d5a000710970c22409682924b74
AXN,p5p://fccs.123178.top:9906/6044d92d0004949903033b6f41d556d0.ts
AXN亞洲,p5p://fccs.123178.top:9906/60463ee9000522e20878a1f4688ea89f.ts						
Warner TV,p5p://fccs.123178.top:9906/604414f400055b780004bcfa6ee82d22.ts
衛視音樂,p5p://fccs.123178.top:9906/6163e81300020e350da08bfaf7a3c756
衛視電影台,p5p://fccs.123178.top:9906/607318ce000ef9a107a827d158704e10.ts
衛視西片,p5p://fccs.123178.top:9906/604416620003377d000a521e160e3141.ts
衛視中文台,p5p://fccs.123178.top:9906/6045bbb2000922ef0678142229e89274.ts
星空衛視,p5p://fccs.123178.top:9906/60463ee9000522e20878a1f4688ea89f.ts
星空衛視,p5p://fccs.123178.top:9906/60eda96d000783c911d47fc0406d599e
星衛電影 HD,p5p://fccs.123178.top:9906/6044d33b0006a70302ec02a7d10a2600.ts
星衛HD電影,p5p://fccs.123178.top:9906/60494c90000347391465f5d2b8473dbe.ts
星衛娛樂台,p5p://fccs.123178.top:9906/6044229300000d0a0039f0b6a59d1511.ts
影迷數位電影台,p5p://fccs.123178.top:9906/6068a2650003dd4d135a407336ec164f.ts
影迷數位紀實台,p5p://fccs.123178.top:9906/60494398000c2ccb1442ef592de01971.ts
