港澳台,#genre#
凤凰卫视中文台,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰卫视资讯台,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
民视,P2P://generationnexxxt.com:19806/debfc7e3fc6f4f5ba921859e73b78a9f#P2P://generationnexxxt.com:19806/7a503ce78f1a437a9d6d720bcac90e79
台视,P2P://generationnexxxt.com:19806/aae11d938adf400e857529640793362b
中视,P2P://generationnexxxt.com:19806/1e0150257d1343f2a980a8cfbdad18d6#P2P://generationnexxxt.com:19806/68e0cbcb508e48339eb69de581c80074
华视,P2P://generationnexxxt.com:19806/ac34167158e74163840d1950e28b7c1e#P2P://generationnexxxt.com:19806/5934853d79224bd0b19ea449f3037cb4
公视,P2P://generationnexxxt.com:19806/e94943dd37f1412ebe659c3ab9b5ba6c#P2P://generationnexxxt.com:19806/c811fb6a37de49d0aa8f8bd08b959094
人间卫视,P2P://generationnexxxt.com:19806/7ae3cb55ad714371aa2c3889e3feb580
大爱,P2P://generationnexxxt.com:19806/167ef66a89d8445eb27be19127be48c6
霹雳台湾台,P2P://generationnexxxt.com:19806/f0a258ccb07548019a24e57a03f8f0ea
好消息,P2P://generationnexxxt.com:19806/736b7d5cb68345e49afeb6412b27d708
原住民电视台,P2P://generationnexxxt.com:19806/585529d8e6904390ab2cf893451c3102
客家电视台,P2P://generationnexxxt.com:19806/ed4b90de27764dc6a940a1a1104b6685
国家地理频道,P2P://generationnexxxt.com:19806/b71a63cefb1a49f9b55683b9ac45e783
探索频道,P2P://generationnexxxt.com:19806/5d564a42791c480ebab7587989c57024
TLC旅游生活,P2P://generationnexxxt.com:19806/84ecd1bc0a254a0793c06775be38a912
动物星球,P2P://generationnexxxt.com:19806/343eb3293a1f473c99418ced02bec3e5
CN卡通频道,P2P://generationnexxxt.com:19806/228d01d9fa054d1baf64bf8f901ae3cf
MOMO亲子台,P2P://generationnexxxt.com:19806/7c9987cc2fa84210bb04557cb094ccb9
东森幼幼台,P2P://generationnexxxt.com:19806/0ec2ffa3cd2c4467b1598861ba9d6aca
纬来综合台,P2P://generationnexxxt.com:19806/18a04f110de9417d8cf71f45785aa732
八大第一台,P2P://generationnexxxt.com:19806/8f3ec10d30864c2383fb5cc91fed5616
八大综合台,P2P://generationnexxxt.com:19806/eccb66f2b97f42678c7dee1bcb349cde
三立台湾台,P2P://generationnexxxt.com:19806/624e83890b6e48a7bf31c023f985e5ef#P2P://generationnexxxt.com:19806/a408a5c9755a476eb0d7b17b96c1662a
三立都会台,P2P://generationnexxxt.com:19806/01fb6b0961e241a48250f648957df30a
东森综合台,P2P://generationnexxxt.com:19806/23c6976b48b548d5a80f65ededef0da1
超视,P2P://generationnexxxt.com:19806/139a3778185a4135987236cfb460cb3c
中天综合台,P2P://generationnexxxt.com:19806/3e7ed9ec6f5c4d199a34035e49d845c2
