央视频道,#genre#
CCTV-1综合,http://php.jdshipin.com:8880/bst.php?id=cctv1hd/4000000
CCTV-2财经,http://php.jdshipin.com:8880/bst.php?id=cctv2hd8m/8000000
CCTV-3综艺,http://php.jdshipin.com:8880/bst.php?id=cctv38m/8000000
CCTV-4中文国际(亚),http://php.jdshipin.com:8880/bst.php?id=cctv4hd/4000000
CCTV-5体育,http://php.jdshipin.com:8880/bst.php?id=cctv5hd/4000000
CCTV-5+体育赛事,http://php.jdshipin.com:8880/bst.php?id=cctv5phd/4000000
CCTV-6电影,http://php.jdshipin.com:8880/bst.php?id=cctv6hd/4000000
CCTV-7国防军事,http://php.jdshipin.com:8880/bst.php?id=cctv7hd8m/8000000
CCTV-8电视剧,http://php.jdshipin.com:8880/bst.php?id=cctv8hd/4000000
CCTV-9纪录,http://php.jdshipin.com:8880/bst.php?id=cctv9hd8m/8000000
CCTV-10科教,http://php.jdshipin.com:8880/bst.php?id=cctv10hd/4000000
CCTV-11戏曲,http://php.jdshipin.com:8880/bst.php?id=cctv11hd8m/8000000
CCTV-12社会与法,http://php.jdshipin.com:8880/bst.php?id=cctv12hd8m/8000000
CCTV-13新闻,http://php.jdshipin.com:8880/bst.php?id=cctv13
CCTV-14少儿,http://php.jdshipin.com:8880/bst.php?id=cctvsehd/4000000
CCTV-15音乐,http://php.jdshipin.com:8880/bst.php?id=cctv15hd8m/8000000
CCTV-17农业农村高清频道,http://php.jdshipin.com:8880/bst.php?id=cctv17hd8m/8000000



卫视频道,#genre#
湖南卫视,http://php.jdshipin.com:8880/bst.php?id=hnwshd/4000000
浙江卫视,http://php.jdshipin.com:8880/bst.php?id=zjwshd/4000000
江苏卫视,http://php.jdshipin.com:8880/bst.php?id=jswshd/4000000
北京卫视,http://php.jdshipin.com:8880/bst.php?id=bjwshd/4000000
东方卫视,http://php.jdshipin.com:8880/bst.php?id=hddfws/4000000
安徽卫视,http://php.jdshipin.com:8880/bst.php?id=ahwshd/4000000
广东卫视,http://php.jdshipin.com:8880/bst.php?id=gdwshd/4000000
深圳卫视,http://php.jdshipin.com:8880/bst.php?id=szwshd/4000000
辽宁卫视,http://php.jdshipin.com:8880/bst.php?id=lnwshd/4000000
海南卫视,http://php.jdshipin.com:8880/bst.php?id=hainanwshd8m/8000000
山东卫视,http://php.jdshipin.com:8880/bst.php?id=sdwshd/4000000
天津卫视,http://php.jdshipin.com:8880/bst.php?id=tjwshd/4000000
重庆卫视,http://php.jdshipin.com:8880/bst.php?id=cqwshd8m/8000000
东南卫视,http://php.jdshipin.com:8880/bst.php?id=dnwshd/4000000
甘肃卫视,http://php.jdshipin.com:8880/bst.php?id=gswshd8m/8000000
广西卫视,http://php.jdshipin.com:8880/bst.php?id=gxwshd8m/8000000
贵州卫视,http://php.jdshipin.com:8880/bst.php?id=gzwshd8m/8000000
河北卫视,http://php.jdshipin.com:8880/bst.php?id=hbwshd8m/8000000
黑龙江卫视,http://php.jdshipin.com:8880/bst.php?id=hljwshd/4000000
河南卫视,http://36.27.24.158:4000/rtp/233.50.201.144:5140
湖北卫视,http://php.jdshipin.com:8880/bst.php?id=hbwshd/4000000
江西卫视,http://php.jdshipin.com:8880/bst.php?id=jxwshd/4000000
吉林卫视,http://php.jdshipin.com:8880/bst.php?id=jlwshd8m/8000000
内蒙古卫视,http://php.jdshipin.com:8880/bst.php?id=nmgws/1300000
宁夏卫视,http://php.jdshipin.com:8880/bst.php?id=lnwshd8m/8000000
山西卫视,http://php.jdshipin.com:8880/bst.php?id=shanxiws/1300000
陕西卫视,http://php.jdshipin.com:8880/bst.php?id=sxws/1300000
四川卫视,http://php.jdshipin.com:8880/bst.php?id=scwshd8m/8000000
新疆卫视,http://php.jdshipin.com:8880/bst.php?id=xjws/1300000
云南卫视,http://php.jdshipin.com:8880/bst.php?id=ynwshd8m/8000000
青海卫视,http://php.jdshipin.com:8880/bst.php?id=qhws/1300000
兵团卫视,http://php.jdshipin.com:8880/bst.php?id=btws/1300000
厦门卫视,http://php.jdshipin.com:8880/bst.php?id=xmws/1300000
西藏卫视,http://php.jdshipin.com:8880/bst.php?id=xzws/1300000



上海频道,#genre#
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
东方卫视,http://php.jdshipin.com:8880/bst.php?id=hddfws/4000000
上海都市,http://php.jdshipin.com:8880/bst.php?id=shds
东方影视,http://php.jdshipin.com:8880/bst.php?id=dfys
纪实人文,http://php.jdshipin.com:8880/bst.php?id=jsrw
新闻综合,http://php.jdshipin.com:8880/bst.php?id=shxwzh
第一财经,http://php.jdshipin.com:8880/bst.php?id=dycj
东方财经,http://php.jdshipin.com:8880/bst.php?id=dfcj
五星体育,http://php.jdshipin.com:8880/bst.php?id=wxtyhd8m/8000000
劲爆体育,http://php.jdshipin.com:8880/bst.php?id=jbty
魅力足球,http://php.jdshipin.com:8880/bst.php?id=mlzq
生活时尚,http://php.jdshipin.com:8880/bst.php?id=shss
哈哈炫动,http://php.jdshipin.com:8880/bst.php?id=hhxd
外语频道,http://php.jdshipin.com:8880/bst.php?id=shics

百事通,#genre#
百事通看天下精選,http://php.jdshipin.com:8880/bst.php?id=ktxjx
百事通華語影院,http://php.jdshipin.com:8880/bst.php?id=hyyy
百事通戲曲精選,http://php.jdshipin.com:8880/bst.php?id=xqjx
百事通星光影院,http://php.jdshipin.com:8880/bst.php?id=xgyy
百事通諜戰劇場,http://php.jdshipin.com:8880/bst.php?id=dzjc
百事通熱門劇場,http://php.jdshipin.com:8880/bst.php?id=rmjc
百事通熱門綜藝,http://php.jdshipin.com:8880/bst.php?id=rmzy
百事通百變課堂,http://php.jdshipin.com:8880/bst.php?id=bbkt
百事通青春動漫,http://php.jdshipin.com:8880/bst.php?id=qcdm
百事通寶寶動畫,http://php.jdshipin.com:8880/bst.php?id=bbdh
百事通電競天堂,http://php.jdshipin.com:8880/bst.php?id=djtt
