央视,#genre# 
CCTV-1综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-2财经,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-3综艺,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV-4中文国际,http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4国际美洲,http://cctvtxyh5ca.liveplay.myqcloud.com/live/cctvamerica_2_hd/index.m3u8
CCTV-4国际欧洲,http://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2_hd/index.m3u8
CCTV-5体育,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+体育赛事,http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV-6电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV-7国防军事,http://39.135.138.59:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV-8电视剧,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV-9记录,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV-10科教,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV-11戏曲,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12社会与法制,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV-13新闻,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14少儿,http://39.135.138.59:18890/PLTV/88888910/224/3221225639/index.m3u8
CCTV-15音乐,http://39.135.138.59:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV-17农业农村,http://39.135.138.59:18890/PLTV/88888910/224/3221225909/index.m3u8

上海,#genre#
东方卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/hddfws/4000000/mnf.m3u8 
上海新闻综合,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/xwzhhd/4000000/mnf.m3u8
东方影视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/dsjpdhd/4000000/mnf.m3u8
上海都市,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/ylpdhd/4000000/mnf.m3u8
上海纪实人文,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/jspdhd/4000000/mnf.m3u8
上海ICS,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/wypdhd/4000000/mnf.m3u8
都市剧场,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/dsjchd/4000000/mnf.m3u8
生活时尚,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/shsshd/4000000/mnf.m3u8
五星体育,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/ssty/4000000/mnf.m3u8 
劲爆体育,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/jbtyhd/4000000/mnf.m3u8
极速汽车,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/jsqchd/4000000/mnf.m3u8
第一财经,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/dycjhd/4000000/mnf.m3u8
哈哈炫动,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/hhxdhd/4000000/mnf.m3u8
欢笑剧场,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/hxjchd/4000000/mnf.m3u8
动漫秀场,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/dmxchd/4000000/mnf.m3u8
新视觉,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/xsjhd/4000000/mnf.m3u8
游戏风云,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/yxfyhd/4000000/mnf.m3u8

卫视,#genre#
天津卫视,http://ivi.bupt.edu.cn/hls/tjhd.m3u8
北京卫视,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
东方卫视,http://140.207.241.3:8080/live/program/live/hddfws/4000000/mnf.m3u8 
重庆卫视,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
黑龙江卫视,http://ivi.bupt.edu.cn/hls/hljhd.m3u8
辽宁卫视,http://ivi.bupt.edu.cn/hls/lnhd.m3u8
河北卫视,http://ivi.bupt.edu.cn/hls/hebhd.m3u8
河南卫视,http://ivi.bupt.edu.cn/hls/hnhd.m3u8
山东卫视,http://ivi.bupt.edu.cn/hls/sdhd.m3u8
安徽卫视,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
湖北卫视,http://ivi.bupt.edu.cn/hls/hbhd.m3u8
湖南卫视,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
江西卫视,http://ivi.bupt.edu.cn/hls/jxhd.m3u8
江苏卫视,http://ivi.bupt.edu.cn/hls/jshd.m3u8
浙江卫视,http://ivi.bupt.edu.cn/hls/zjhd.m3u8
东南卫视,http://ivi.bupt.edu.cn/hls/dnhd.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
深圳卫视,http://ivi.bupt.edu.cn/hls/szhd.m3u8
四川卫视,http://ivi.bupt.edu.cn/hls/schd.m3u8
吉林卫视,http://ivi.bupt.edu.cn/hls/jlhd.m3u8
广西卫视,http://ivi.bupt.edu.cn/hls/gxhd.m3u8
海南卫视,http://ivi.bupt.edu.cn/hls/lyhd.m3u8
贵州卫视,http://ivi.bupt.edu.cn/hls/gzhd.m3u8
凤凰中文 ,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8
凤凰资讯,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8$JS1080P
凤凰香港,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
凤凰资讯,http://111.13.42.10/PLTV/88888888/224/3221225949/1.m3u8#http://223.82.250.72/live/fhzixun/1.m3u8
凤凰中文,http://111.13.42.10/PLTV/88888888/224/3221225942/1.m3u8#http://223.82.250.72/live/fhchinese/1.m3u8
HBO高清,http://198.16.106.62:8278/streams/d/sundance_twn/playlist.m3u8
HBO家庭,http://198.16.106.61:8277/streams/d/hbofamily_twn/playlist.m3u8
HBO强档,http://198.16.106.61:8277/streams/d/hbofhits_twn/playlist.m3u8
HBO原創,http://198.16.106.62:8278/streams/d/hbosignature_zero/playlist.m3u8
FOX高清,http://198.16.106.62:8278/streams/d/foxhd_zero/playlist.m3u8
FOX犯罪,http://198.16.106.62:8278/streams/d/foxcrime_zero/playlist.m3u8
FOX家庭,http://198.16.106.62:8278/streams/d/foxfamily_zero/playlist.m3u8
FOX動作,http://198.16.106.62:8278/streams/d/foxaction_zero/playlist.m3u8
亚洲美食,http://198.16.106.62:8278/streams/d/asiafood_zero/playlist.m3u8
美食星球,http://198.16.106.62:8278/streams/d/foodplanet_zero/playlist.m3u8
亚洲旅游,http://198.16.106.62:8278/streams/d/tlcasia_zero/playlist.m3u8
动物星球,http://50.7.161.82:8278/streams/d/AnimalPlanet/playlist.m3u8
动物星球,http://77.83.117.60:8888/02_AnimalPlanet/chunklist.m3u8
BBC Earth HD,http://198.16.106.62:8278/streams/d/bbcearthhd_zero/playlist.m3u8
BBC Earth Lifestyle,http://198.16.106.62:8278/streams/d/bbclifestyle_zero/playlist.m3u8
Natgeowild,http://50.7.161.82:8278/streams/d/Natgeowild/playlist.m3u8
NatGeogpeople,http://198.16.106.62:8278/streams/d/natgeopeople_zero/playlist.m3u8
Discovery eve,http://198.16.106.62:8278/streams/d/eve_zero/playlist.m3u8
求索动物 8M1080,http://117.148.187.85/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228980/01.m3u8?fmt=ts2hls
求索生活 8M1080,http://117.148.187.105/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228983/01.m3u8?fmt=ts2hls
求索科学 8M1080,http://117.148.187.100/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228975/01.m3u8?fmt=ts2hls
求索纪录 8M1080,http://117.148.187.46/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228972/01.m3u8?fmt=ts2hls



iHOT频道,#genre#
iHot爱喜剧 8M1080,http://117.148.187.46/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230022/01.m3u8?fmt=ts2hls
iHot爱探索 8M1080,http://39.135.98.8/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230112/index.m3u8
iHot爱浪漫 8M1080,http://117.148.187.46/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230005/01.m3u8?fmt=ts2hls
